,6120395770,6120396080,6120396460,6120396800,6120396970,6120397640
6120395770,,1612.16244766,119.678117487,27.8835735312,34.255451491,54.2594904562
6120396080,1612.16244766,,1271.64329118,445.707143104,572.194170694,280.777521895
6120396460,119.678117487,1271.64329118,,133.696046549,184.79632155,16.0844349692
6120396800,27.8835735312,445.707143104,133.696046549,,0.0,584.10846877
6120396970,34.255451491,572.194170694,184.79632155,0.0,,247.166975917
6120397640,54.2594904562,280.777521895,16.0844349692,584.10846877,247.166975917,
