a,cv,eopt,gyo,idcr,lcor,lgrad,lo,lopt,lrio,o,std,yo
0.000697109338532,0.951855558048,14.0,151.800083738,000499410A,63.3310940219,24.0384291664,1434.4952,43.6847615941,621.990675306,0.2,6140.08179542,6450.64447384
0.100078060887,0.500610357511,8.0,16.3026026829,001375608P,1.59485589434,17.3911403517,9.9922,9.49299812301,71.5982978161,0.2,250.905306199,501.198791504
0.0205733377772,1.10104615308,36.0,40.5977466859,004979405A,1.60377776137,22.6109504458,48.6066,12.1073641036,430.155063108,0.2,1786.69853921,1622.72810654
0.114746009708,0.894220510055,34.0,37.2628783722,004929913A,0.435946450526,32.6141932697,8.7149,16.5250698601,562.209856729,0.2,1921.11196554,2148.36490993
0.10779114388,0.622151387024,8.0,10.9251825964,001371608P,0.95870449428,29.9718253083,9.2772,15.4652649013,126.09413408,0.2,360.133051868,578.851159669
0.000411318464061,0.399421626147,0.0,2049.65451333,004995305A,609.563052225,11.7138079987,2431.2062,310.638430112,32.4336119765,0.2,16952.5623647,42442.7753906
0.170791275982,0.476557419188,10.0,11.5397717535,004987405A,1.03124970624,27.2738174161,5.8551,14.1525335612,140.081450878,0.2,265.144970676,556.375706264
1.37457044674,0.294794158146,5.0,5.58503926695,137551915P,0.334853808676,10.2017904226,0.7275,5.26832211565,24.4102956886,0.2,29.6924827051,100.722764969
0.0038408637949,0.173903594087,0.0,711.275916432,004995512A,344.361007253,39.0327883218,260.3581,191.696897788,65.0389320459,0.2,8534.95525831,49078.659375
0.00504414382468,0.312545331456,1.0,246.980968644,004989706A,81.1795235013,17.8512870675,198.2497,49.5154052844,44.2920147201,0.2,2435.9650363,7793.95751953
0.0740143143684,0.434689411474,9.0,22.772920587,001375408P,2.86013246803,19.7458131962,13.5109,11.3029728321,97.3912619613,0.2,345.53960148,794.911475548
0.0893615119968,0.422654195698,9.0,67.3625410429,000499615A,2.50575793161,8.405360259,11.1905,5.45555909531,46.9817238179,0.2,423.043463351,1000.92100743
0.00191501031042,0.768440889419,12.0,80.1765294964,004664910A,35.3726781701,46.0894174201,522.1904,40.7310477951,487.985060182,0.2,5019.77150531,6532.41072206
0.0880529726684,0.776875230958,20.0,27.351314185,004991405A,0.752685273114,17.9723136507,11.3568,9.36249946192,184.621063637,0.2,675.085023558,868.974832323
0.000898991071311,0.73387663003,9.0,118.470477571,000499205A,82.614921955,34.0415482585,1112.3581,58.3282351067,504.800181044,0.2,5231.99731218,7129.26001195
0.021051036132,0.343254672801,4.0,41.3373451042,000131615P,16.1270004648,13.1547644638,47.5036,14.6408824643,51.7640764408,0.2,329.964430212,961.281684876
0.00173418905158,0.90737569028,11.0,123.345774737,000013210P,28.0149125839,7.66816969967,576.6384,17.8415411418,197.503356832,0.2,1517.1486787,1672.01821136
0.0601699198537,0.128584567813,2.0,17.0119872446,000139415P,40.207110116,50.3233824331,16.6196,45.2652462745,74.9550073788,0.2,194.598161469,1513.38659668
0.00174240372958,0.410644264489,0.0,307.782232486,000013202P,136.138097323,7.50757127124,573.9198,71.8228342972,15.3929672841,0.2,1677.38896431,4084.77387696
0.0026848592731,0.688484875015,15.0,59.1315395369,000499612A,31.4303817866,55.9685129134,372.459,43.69944735,671.5631855,0.2,4027.93421462,5850.43239262
0.0447311212303,0.426045748966,11.0,46.5478261259,004984814A,4.92649146069,26.7829012532,22.3558,15.8546963569,175.985924281,0.2,938.940929059,2203.85001221
0.00601434662243,0.155519737032,0.0,815.483213948,000499305A,274.979622144,38.9139924643,166.2691,156.946807304,73.0829302503,0.2,8724.31505198,56097.7996652
0.00456522195653,0.24267313834,3.0,42.756745386,000498605A,148.78346911,104.541760586,219.0474,126.662614848,372.780650941,0.2,1917.52558284,7901.6804083
0.000519316577307,0.905990724842,13.0,36.7918397487,000499412A,93.8383368834,40.3030912751,1925.6077,67.0707140793,886.920983047,0.2,2374.86335087,2621.28881208
0.000262995322102,0.304904478225,0.0,3034.0024044,004995712A,1636.00400125,5.69667051183,3802.349,820.850335882,16.0068444498,0.2,9315.92182838,30553.5749512
0.0969011027345,0.679579009569,14.0,25.1863262217,004984915A,0.893822657988,16.998920082,10.3198,8.94637137,124.56373141,0.2,514.340974451,756.852355956
0.00660594918572,1.04175064609,16.0,69.4038728812,004987605A,5.57952471522,41.1922232179,151.3787,23.3858739666,363.534028809,0.2,5264.87091112,5053.86863055
0.00437736186031,0.129061424932,0.0,839.764136586,004991107A,548.598518266,66.5745367374,228.4481,307.586527502,95.0198312091,0.2,12755.1903204,98830.3850446
0.00784394933436,0.356744107821,2.0,40.6034211291,013777315P,40.0692850922,7.08467949837,127.4868,23.5769822953,36.9624511099,0.2,181.411433581,508.519775391
0.00747074270389,0.264079833164,2.0,501.564152659,004987905A,76.7760453067,26.115130898,133.8555,51.4455881024,85.1022541091,0.2,6114.75335821,23154.9425223
0.0493749135939,0.401354516923,7.0,293.678810258,000013410P,5.02918177141,8.80424039357,20.2532,6.91671108249,49.304469325,0.2,1834.49980557,4570.77154541
0.0368242745618,0.259459979308,4.0,15.9551411062,000137415P,16.1355968003,60.8472829496,27.156,38.4914398749,164.465198015,0.2,445.284142795,1716.19586182
0.00136436220433,0.698404713345,8.0,62.689534144,000499812A,60.1057454809,31.6532254804,732.9432,45.8794854807,384.006688366,0.2,2449.88211083,3507.82585515
