,6120329160,6120332810,6120332930,6120334860,6120341110
6120329160,,0.0,51.5571798325,32.1176260991,35.6843883758
6120332810,0.0,,55.5403893345,32.8742644124,36.2049809613
6120332930,51.5571798325,55.5403893345,,9.26567070121,12.411174228
6120334860,32.1176260991,32.8742644124,9.26567070121,,12.7048305451
6120341110,35.6843883758,36.2049809613,12.411174228,12.7048305451,
