,6120379860,6120381970,6121111460,6121111580
6120379860,1.0,1.0,1.0,1.0
6120381970,1.0,1.0,1.0,1.0
6121111460,1.0,1.0,1.0,1.0
6121111580,1.0,1.0,1.0,1.0
