,mx_co,mx_di,mx_gr,mx_si
0,0.999999878625,0.232069749462,0.0,1.63730959357e-07
1,-0.879865167614,24.0325165951,128.350547797,0.15232324306
2,-0.808819042146,20.6061551479,149.692489831,0.2332438946
3,-0.986846856645,12.1923436099,235.224394692,0.0176264347245
4,-0.880757639539,24.1576184677,127.685875743,0.151263424754
5,-0.810059609721,20.7187027264,148.879334322,0.231889312753
6,-0.986919527104,12.2790828269,233.56277386,0.0175296906933
7,0.999999897404,3.709260464,0.0,1.38398802772e-07
8,0.999997174622,12.2820531222,17.6395609316,3.81132894334e-06
9,0.9999981537,8.65155253447,25.0417510095,2.4905903993e-06
