,6120639970,6120640640,6120642370,6120642450
6120639970,,10.0895363277,34.6388555139,34.5282013897
6120640640,10.0895363277,,78.6249072384,77.9247443095
6120642370,34.6388555139,78.6249072384,,0.0
6120642450,34.5282013897,77.9247443095,0.0,
