,6120639970,6120640640,6120642370,6120642450
6120639970,0.0,173.231819153,1145.68676758,1145.68676758
6120640640,173.231819153,0.0,1318.91858673,1318.91858673
6120642370,1145.68676758,1318.91858673,0.0,0.0
6120642450,1145.68676758,1318.91858673,0.0,0.0
