,6120610110,6120611540,6120611640,6121207020,6121207250
6120610110,,20.0385276895,20.0159594538,78.4985031935,38.4024446942
6120611540,20.0385276895,,0.0,24.8633513348,21.2398647627
6120611640,20.0159594538,0.0,,24.846569126,21.3004580671
6121207020,78.4985031935,24.8633513348,24.846569126,,28.2118979573
6121207250,38.4024446942,21.2398647627,21.3004580671,28.2118979573,
