,6120562750,6120565040,6120566690,6120568380,6120568390,6120568660,6120568710,6120569430,6120570360,6120570630,6120573030,6120573090,6120573550,6120573860,6120574110,6120574360,6120575360,6120576000,6120577010,6120577570,6120577910,6120579790,6120579940,6120580500,6120581230,6120581430,6120584830,6120585900,6120586520,6121186570,6121186940,6121187470,6121187980,6121190900,6121192070,6121192630,6121193270
6120562750,,35.0802504571,180.089591952,31.943300049,26.2279561513,59.3273642695,89.9824779561,4.60147429155,29.8902272473,33.6069381167,34.7109029915,49.7809818302,43.2553705708,62.598584868,25.1217312237,30.8645333768,21.6279411892,34.8871099041,0.0866287788846,43.9149538868,43.9211318692,53.5450069789,41.9255860464,40.0497557294,43.3687228323,39.9537785173,41.386453158,34.8168952453,37.8910268127,289.445060959,151.612206844,16.724996797,28.4087331109,3.78855511631,44.7028852782,30.7372792814,52.7341207919
6120565040,35.0802504571,,155.685425498,60.8762729422,22.6110553105,53.831641614,87.9050849567,1.56456993484,55.4217569939,33.1318167923,42.526553249,58.2651837881,55.2008439632,78.1812958999,23.013404142,41.9111690845,19.211667216,45.988386528,4.46369931603,51.1997665795,50.909041612,65.9632760561,51.0477047435,48.5083106283,52.0420575285,46.8522551976,48.0316903729,40.615028437,43.6241264293,161.194708413,92.2357258458,0.433908880349,18.5170872093,2.74626612711,52.1752654895,42.7399441141,66.5675563109
6120566690,180.089591952,155.685425498,,141.250011189,30.655770719,61.6107685821,25.3542572171,104.169784854,134.799555577,49.1431848364,70.8490224681,81.0703843387,86.7321031299,105.112472999,40.2088389695,79.3230404383,39.908178671,91.387341858,44.4441677146,73.6407625622,72.6688986698,100.183618573,83.6185031248,80.1886205094,82.9840790506,73.3872917471,72.8185255804,64.8970906978,66.7597774614,6.22716488042,201.200021828,126.301909248,254.354160166,71.8053811121,74.7378953411,83.5108017756,101.558187054
6120568380,31.943300049,60.8762729422,141.250011189,,42.1176977892,85.2122044134,120.783474312,25.2238360077,0.0,170.062987571,25.9243903468,47.3482790352,37.4825458728,69.3089321611,77.0004724897,22.4318034897,72.011264269,37.3256261891,18.1463270395,42.1593277241,43.6423617817,67.1584962426,46.9301638231,43.8478307582,48.7016287378,42.7859654972,44.4240232785,35.4739250499,39.5287996179,114.473929142,83.9184721188,110.510069387,51.9281564688,48.7995751104,43.000370954,24.1446355582,66.5276539431
6120568390,26.2279561513,22.6110553105,30.655770719,42.1176977892,,11.8269307331,93.3689323731,74.2398925023,42.1651478684,6.92467463616,34.8155602166,45.4063053826,40.7691538853,52.9520889354,7.68700898285,36.1668913875,9.07401708896,53.8416926993,20.9154030868,43.5606613395,45.2645149045,63.419770497,56.3348547363,55.1380316279,58.378520418,54.268077022,54.4853811281,47.7736400408,51.1365681256,24.6567387612,2.9611952122,22.9078677777,24.6627889946,27.9107768252,43.9379590646,38.329410897,58.2187913448
6120568660,59.3273642695,53.831641614,61.6107685821,85.2122044134,11.8269307331,,219.316709632,177.266679316,83.8713351401,19.8888365712,49.6173992127,61.4861001674,60.5002380152,77.3678060822,19.0286732163,54.6008934982,19.5439435434,75.4048904865,30.0488534761,57.245016373,58.0289205247,84.418131129,71.1998107867,68.5818696513,71.8553591769,64.0082914482,63.730507285,55.894320691,58.6000451138,35.0113142588,20.0903351944,53.1061288421,153.158718215,49.7194812251,57.9614906815,58.4791113348,81.5525435197
6120568710,89.9824779561,87.9050849567,25.3542572171,120.783474312,93.3689323731,219.316709632,,1385.11961766,120.092736501,61.3515142512,66.6104966682,77.4087137503,80.4909445073,97.6906736378,64.7096079691,76.7942066061,57.3650278951,107.89953146,55.8906063452,72.7693245875,73.4838776932,110.462139392,95.8238081193,92.6089626623,95.7551830187,84.497850058,82.9375271295,74.1491488254,76.3974770495,12.9919208774,67.2512874864,89.0255026251,185.325338591,94.9635555931,73.6011543387,82.9795380861,106.961896729
6120569430,4.60147429155,1.56456993484,104.169784854,25.2238360077,74.2398925023,177.266679316,1385.11961766,,25.1158406914,24.7622620686,25.6259480832,38.3374994193,31.0918979199,45.5620865778,27.0407438518,24.3676442528,19.4692891267,39.6697676629,3.05464848999,36.182997507,37.9181854442,53.8898066658,44.9305223757,43.4935269283,47.1251816785,43.4268240531,44.3090469315,37.3692898694,40.992863729,68.1542903558,36.4564705808,1.49702263162,28.9608814724,0.905663556046,36.5830724201,25.7323647641,48.8925334429
6120570360,29.8902272473,55.4217569939,134.799555577,0.0,42.1651478684,83.8713351401,120.092736501,25.1158406914,,198.530436724,26.0352201376,47.7828711975,37.87385597,70.57446849,81.7265294136,22.9296875855,76.9739933503,39.5754894304,18.8667306239,42.6717950109,44.2767959174,70.1871534339,48.6442715535,45.3492002488,50.3340357838,43.8977160783,45.4833231045,36.2656049555,40.3646449285,109.204112233,79.3524730159,93.7937824028,50.3832975904,53.0803105036,43.5197819354,25.0525787287,69.7361640809
