,6120411390,6120412890,6120413800,6120416180,6120416190,6121126090
6120411390,0.0,321.144165043,594.516235353,905.080688473,905.080688473,272.555053713
6120412890,321.144165043,0.0,273.37207031,583.93652343,583.93652343,48.58911133
6120413800,594.516235353,273.37207031,0.0,310.56445312,310.56445312,321.96118164
6120416180,905.080688473,583.93652343,310.56445312,0.0,0.0,632.52563476
6120416190,905.080688473,583.93652343,310.56445312,0.0,0.0,632.52563476
6121126090,272.555053713,48.58911133,321.96118164,632.52563476,632.52563476,0.0
