a,cv,eopt,flagLo,gyo,idcr,lcor,lgrad,lo,lopt,lrio,o,std,yo
0.00601432130188,0.155519597367,2.0,Distancia,815.48221666809025,000499305A,274.9812737125817,38.9140400535,166.2698,38.9140400535,74.1907744601,0.2,8724.30721712,56097.7996652
0.00425632255434,0.236799930173,3.0,Distancia,41.190391437827927,000498605A,167.59548666927856,108.886208618,234.9446,138.240847644,383.466985381,0.2,1877.48024509,7928.55067028
inf,0.0,1.0,0,0,001377212P,0,26.5715058246,0.0,26.5715058246,26.5715058246,0.2,0.0,401.521697998
9.61924781355,0.47403766505,6.0,Sin interseccion,151.27563464071119,004664810A,0.018505174190972432,30.1845444843,0.10395823243,15.1015248292,88.8935994795,0.2,3826.40971918,8071.95292969
5.7994994862,0.467537001779,2.0,0,0,000001703T,0,4.4531442133,0.172428672919,4.4531442133,8.90628842661,0.2,222.315185547,475.502868652
0.000519316442462,0.905990684457,22.0,Distancia,36.791835453681529,000499412A,93.83836961513623,40.3030948692,1925.6082,40.3030948692,877.932782963,0.2,2374.86317955,2621.28873982
12.5750965702,0.287045567264,4.0,0,0,004995712A,0,3.02072401352,0.0795222521286,3.02072401352,12.0828960541,0.2,8085.9906557,28169.7109375
9.00385099847,0.29949406805,3.0,0,0,000499413A,0,12.8292896711,0.111063588255,12.8292896711,38.4878690132,0.2,392.33731445,1310.00028483
0.0206195770512,0.569315493149,10.0,Distancia,27.971971457704871,004984915A,5.9851388914782975,18.4857796283,48.4976,12.2354592599,122.091824455,0.2,520.401885499,914.08347702
0.00409784002852,0.432263780532,7.0,Distancia,42.892340692092226,004987605A,52.240496520516132,50.941832452,244.031,51.5911644863,339.748568132,0.2,1669.66048209,3862.59630643
0.000928426832724,0.257265397787,3.0,Distancia,1647.9489923120218,004991107A,650.95287986369578,30.5678437573,1077.0908,30.5678437573,102.141527236,0.2,22909.465584,89049.9296875
4.37558751857,1.35519691508,3.0,0,0,004995204A,0,17.8504722744,0.228540737845,17.8504722744,53.5514168231,0.2,2613.69374629,1928.6449941
0.00747083200415,0.264079311221,4.0,Distancia,501.56286964954518,004987905A,76.775431074500929,26.1151774036,133.8539,26.1151774036,91.941311961,0.2,6114.73652012,23154.9245257
inf,0.0,1.0,0,0,001375815P,0,29.647952589,0.0,29.647952589,29.647952589,0.2,0.0,1190.4453125
0.0360917017959,0.351657901069,6.0,Distancia,166.47503727491579,000013410P,8.9621430510048885,15.7986281167,27.7072,12.3803855839,78.1451295899,0.2,1634.98543296,4649.36356608
0.037183153057,0.204352678501,3.0,Distancia,15.474498077038987,000137415P,25.760429996430968,65.60996019,26.8939,45.6851950932,158.722290789,0.2,366.768214403,1794.78055827
0.00136435829522,0.69840482383,12.0,Distancia,62.689516788722599,000499812A,60.105898676360972,31.6532234069,732.9453,31.6532234069,383.776186061,0.2,2449.88165968,3507.82465424
0.0598046779219,0.649258347671,19.0,Gradiente,47.949810184933455,004664809A,1.5866814747038209,26.2604079825,16.7211,13.9235447286,260.793564075,0.2,1445.20985478,2225.93958162
