,6120552520,6120552780,6120554070,6120554160,6121181400,6121182160
6120552520,0.0,8195.10009766,9448.77978516,9937.22021484,10096.6298828,9993.47021484
6120552780,8195.10009766,0.0,1253.6796875,1742.12011718,1901.52978515,1798.37011718
6120554070,9448.77978516,1253.6796875,0.0,488.44042968,647.85009765,544.69042968
6120554160,9937.22021484,1742.12011718,488.44042968,0.0,159.40966797,56.25
6121181400,10096.6298828,1901.52978515,647.85009765,159.40966797,0.0,103.15966797
6121182160,9993.47021484,1798.37011718,544.69042968,56.25,103.15966797,0.0
