,mx_co,mx_di,mx_gr,mx_si
0,0.960587826111,16.0574478586,1.16280950089,0.0521179376323
1,0.998530738767,24.4720154252,3.64389030861,0.00198052524245
2,0.0340290339242,33.083435751,13.9361260756,0.673701223886
3,0.994512848189,40.539171652,0.167442095963,0.00738166520724
4,0.997875694963,9.32571821087,11.5642667226,0.0028625683968
5,0.296206613417,19.6174796317,22.550459438,0.615304291913
6,0.911325045508,26.3227787784,0.45146407832,0.11431574603
7,-0.0999925777807,10.6862306779,51.4894622871,0.667738436198
8,0.988637657501,17.0168931598,5.639178833,0.0152403192737
9,0.984792736349,7.63284381449,59.5147731056,0.0203580776853
