,6120531390,6120532380,6120534300,6120537050
6120531390,0.0,12691.6992188,26907.0996094,6035.1992188
6120532380,12691.6992188,0.0,39598.7988282,6656.5
6120534300,26907.0996094,39598.7988282,0.0,32942.2988282
6120537050,6035.1992188,6656.5,32942.2988282,0.0
